"GEOCODE" "NAME" "LAT" "LON" "TYPE" "DIST_ID" "DIST_NAM" "PROV_ID" "PROV_NAM" "coords.x1" "coords.x2"
"169" "AF010100200" "Qala-I- Wahid" 34.50919 69.09569 0 101 "Kabul" 1 "Kabul" 69.09569 34.50919
"170" "AF010100201" "Qala-i-Fathullahkhan" 34.4922 69.05319 0 101 "Kabul" 1 "Kabul" 69.05319 34.4922
"171" "AF010100202" "Qala-I- Sarfiraz Khan" 34.48399 69.04149 0 101 "Kabul" 1 "Kabul" 69.04149 34.48399
"172" "AF010100203" "Qala-I- Muhib" 34.50109 69.03543 0 101 "Kabul" 1 "Kabul" 69.03543 34.50109
"173" "AF010100204" "Qala-I- Chitgar" 34.49329 69.09679 0 101 "Kabul" 1 "Kabul" 69.09679 34.49329
"174" "AF010100205" "Qala-I- Wazeer" 34.49 69.09059 0 101 "Kabul" 1 "Kabul" 69.09059 34.49
"175" "AF010100206" "Qala-I- Muhammad Hayat Khan" 34.48429 69.0881 0 101 "Kabul" 1 "Kabul" 69.0881 34.48429
"176" "AF010100207" "Chahar Qala" 34.48579 69.1041 0 101 "Kabul" 1 "Kabul" 69.1041 34.48579
"177" "AF010100208" "Doghabad (2)" 34.4968 69.08119 0 101 "Kabul" 1 "Kabul" 69.08119 34.4968
"178" "AF010100209" "Barjay" 34.5028 69.07479 0 101 "Kabul" 1 "Kabul" 69.07479 34.5028
"179" "AF010100210" "Sihbangi" 34.50889 69.07689 0 101 "Kabul" 1 "Kabul" 69.07689 34.50889
"180" "AF010100211" "Barchi" 34.497 69.0924 0 101 "Kabul" 1 "Kabul" 69.0924 34.497
"181" "AF010100212" "Unchee Baghbanan" 34.5051 69.0884 0 101 "Kabul" 1 "Kabul" 69.0884 34.5051
"182" "AF010100213" "Dih Murad Khan" 34.48269 69.14849 0 101 "Kabul" 1 "Kabul" 69.14849 34.48269
"183" "AF010100214" "Alawuddini Payin(Karta-I-Se)" 34.49139 69.1329 0 101 "Kabul" 1 "Kabul" 69.1329 34.49139
"184" "AF010100215" "Gulkhana" 34.49689 69.10819 0 101 "Kabul" 1 "Kabul" 69.10819 34.49689
"185" "AF010100216" "Jangalak" 34.4915 69.15269 0 101 "Kabul" 1 "Kabul" 69.15269 34.4915
"186" "AF010100217" "Qala-I- Shaghasi" 34.49719 69.1496 0 101 "Kabul" 1 "Kabul" 69.1496 34.49719
"187" "AF010900218" "Qal'eh-ye Atamohammad-Khan" 34.3961 69.0825 0 109 "Chahar Asyab" 1 "Kabul" 69.0825 34.3961
"188" "AF011400219" "Alukhel" 34.32544 69.14819 0 114 "Musayi" 1 "Kabul" 69.14819 34.32544
"189" "AF010900220" "Qal'eh-ye Loku" 34.35639 69.09629 0 109 "Chahar Asyab" 1 "Kabul" 69.09629 34.35639
"190" "AF010900221" "Alikhel (2)" 34.3246 69.0948 0 109 "Chahar Asyab" 1 "Kabul" 69.0948 34.3246
"191" "AF010900222" "Werek" 34.32639 69.0822 0 109 "Chahar Asyab" 1 "Kabul" 69.0822 34.32639
"192" "AF010900223" "Neshan Kala" 34.33959 69.07199 0 109 "Chahar Asyab" 1 "Kabul" 69.07199 34.33959
"193" "AF010900224" "Bedak" 34.34649 69.06979 0 109 "Chahar Asyab" 1 "Kabul" 69.06979 34.34649
"194" "AF010900225" "Qal'eh-ye Safed (1)" 34.356 69.08229 0 109 "Chahar Asyab" 1 "Kabul" 69.08229 34.356
"195" "AF010900226" "Qaleh-ye Neshan" 34.32159 69.11479 0 109 "Chahar Asyab" 1 "Kabul" 69.11479 34.32159
"196" "AF011400227" "Rahmatabad" 34.32099 69.14669 0 114 "Musayi" 1 "Kabul" 69.14669 34.32099
"197" "AF010900228" "Alikhel (1)" 34.3359 69.10259 0 109 "Chahar Asyab" 1 "Kabul" 69.10259 34.3359
"198" "AF010900229" "Namunyaz" 34.3516 69.11579 0 109 "Chahar Asyab" 1 "Kabul" 69.11579 34.3516
"199" "AF010900230" "Shahtut" 34.3933 69.08739 0 109 "Chahar Asyab" 1 "Kabul" 69.08739 34.3933
"200" "AF010900231" "Shabi" 34.3582 69.05349 0 109 "Chahar Asyab" 1 "Kabul" 69.05349 34.3582
"201" "AF010900232" "Qaleh-ye Bawar" 34.38509 69.1339 0 109 "Chahar Asyab" 1 "Kabul" 69.1339 34.38509
"202" "AF010900233" "Cheheldukhtaran" 34.37619 69.12299 0 109 "Chahar Asyab" 1 "Kabul" 69.12299 34.37619
